slot 1, parent 8, max_prob 4, total 149 ==>  setting strategy, parent 255 
slot 2, parent 8, max_prob 3, total 153 ==>  setting strategy, parent 255 
slot 15, parent 10, max_prob 61, total 152 ==>  setting strategy, parent 10 
sent=10, activity=5.50%
sent=20, activity=1.70%
sent=30, activity=6.60%
sent=40, activity=9.20%
sent=50, activity=4.50%
sent=60, activity=9.10%
sent=70, activity=8.40%
sent=80, activity=10.0%
sent=90, activity=5.60%
sent=100, activity=6.30%
sent=110, activity=5.30%
sent=120, activity=9.50%
sent=130, activity=9.20%
sent=140, activity=6.70%
sent=150, activity=5.10%
sent=160, activity=9.60%
sent=170, activity=5.50%
sent=180, activity=7.50%
sent=190, activity=8.70%
sent=200, activity=7.90%
