sending slot 8
slot 5, parent 0, max_prob 3, total 150 ==>  setting strategy, parent 255 
slot 6, parent 1, max_prob 2, total 150 ==>  setting strategy, parent 255 
slot 8, parent 0, max_prob 96, total 150 ==>  setting strategy, parent 0 
slot 9, parent 1, max_prob 92, total 150 ==>  setting strategy, parent 1 
slot 10, parent 1, max_prob 89, total 150 ==>  setting strategy, parent 1 
slot 11, parent 0, max_prob 2, total 150 ==>  setting strategy, parent 255 
sent=10, activity=6.20%
sent=20, activity=3.0%
sent=30, activity=3.20%
sent=40, activity=3.20%
sent=50, activity=3.10%
sent=60, activity=3.10%
sent=70, activity=3.0%
sent=80, activity=3.10%
sent=90, activity=3.10%
sent=100, activity=7.20%
sent=110, activity=6.50%
sent=120, activity=7.70%
sent=130, activity=10.10%
sent=140, activity=8.40%
sent=150, activity=8.50%
sent=160, activity=8.70%
sent=170, activity=10.50%
sent=180, activity=11.90%
sent=190, activity=6.30%
sent=200, activity=10.50%
sent=210, activity=8.30%
