sending slot 1
slot 1, parent 6, max_prob 71, total 152 ==>  setting strategy, parent 6 
slot 2, parent 7, max_prob 91, total 151 ==>  setting strategy, parent 7 
slot 3, parent 7, max_prob 1, total 152 ==>  setting strategy, parent 255 
slot 4, parent 0, max_prob 96, total 152 ==>  setting strategy, parent 0 
slot 5, parent 7, max_prob 81, total 152 ==>  setting strategy, parent 7 
slot 6, parent 7, max_prob 3, total 152 ==>  setting strategy, parent 255 
slot 10, parent 0, max_prob 94, total 152 ==>  setting strategy, parent 0 
slot 11, parent 6, max_prob 84, total 152 ==>  setting strategy, parent 6 
slot 15, parent 0, max_prob 83, total 152 ==>  setting strategy, parent 0 
sent=10, activity=8.0%
sent=20, activity=5.40%
sent=30, activity=5.50%
sent=40, activity=5.50%
sent=50, activity=5.20%
sent=60, activity=5.40%
sent=70, activity=8.40%
sent=80, activity=12.80%
sent=90, activity=10.90%
sent=100, activity=11.70%
sent=110, activity=10.20%
sent=120, activity=8.10%
sent=130, activity=10.60%
sent=140, activity=14.10%
sent=150, activity=11.0%
sent=160, activity=11.50%
sent=170, activity=10.70%
sent=180, activity=12.40%
sent=190, activity=13.40%
sent=200, activity=12.90%
