sending slot 13
slot 2, parent 0, max_prob 85, total 150 ==>  setting strategy, parent 0 
slot 3, parent 1, max_prob 5, total 150 ==>  setting strategy, parent 255 
slot 4, parent 1, max_prob 78, total 150 ==>  setting strategy, parent 1 
slot 5, parent 0, max_prob 6, total 150 ==>  setting strategy, parent 255 
slot 6, parent 1, max_prob 6, total 150 ==>  setting strategy, parent 255 
slot 8, parent 0, max_prob 96, total 150 ==>  setting strategy, parent 0 
slot 9, parent 1, max_prob 3, total 150 ==>  setting strategy, parent 255 
slot 10, parent 1, max_prob 84, total 150 ==>  setting strategy, parent 1 
slot 11, parent 0, max_prob 5, total 150 ==>  setting strategy, parent 255 
slot 12, parent 1, max_prob 4, total 150 ==>  setting strategy, parent 255 
slot 14, parent 1, max_prob 3, total 150 ==>  setting strategy, parent 255 
slot 15, parent 1, max_prob 88, total 150 ==>  setting strategy, parent 1 
sent=10, activity=7.90%
sent=20, activity=5.80%
sent=30, activity=6.0%
sent=40, activity=5.80%
sent=50, activity=5.90%
sent=60, activity=5.70%
sent=70, activity=5.70%
sent=80, activity=6.0%
sent=90, activity=5.90%
sent=100, activity=5.80%
sent=110, activity=5.90%
sent=120, activity=5.80%
sent=130, activity=5.90%
sent=140, activity=5.90%
sent=150, activity=5.80%
sent=160, activity=5.70%
sent=170, activity=6.0%
sent=180, activity=5.90%
sent=190, activity=5.90%
sent=200, activity=5.90%
sent=210, activity=5.90%
