sending slot 8
slot 1, parent 0, max_prob 9, total 150 ==>  setting strategy, parent 255 
slot 2, parent 1, max_prob 7, total 150 ==>  setting strategy, parent 255 
slot 5, parent 0, max_prob 82, total 150 ==>  setting strategy, parent 0 
slot 6, parent 1, max_prob 72, total 150 ==>  setting strategy, parent 1 
slot 9, parent 1, max_prob 88, total 150 ==>  setting strategy, parent 1 
slot 11, parent 0, max_prob 74, total 150 ==>  setting strategy, parent 0 
slot 12, parent 1, max_prob 67, total 150 ==>  setting strategy, parent 1 
slot 13, parent 1, max_prob 2, total 150 ==>  setting strategy, parent 255 
sent=10, activity=7.40%
sent=20, activity=5.70%
sent=30, activity=5.80%
sent=40, activity=5.30%
sent=50, activity=5.60%
sent=60, activity=5.60%
sent=70, activity=5.60%
sent=80, activity=5.80%
sent=90, activity=5.80%
sent=100, activity=5.70%
sent=110, activity=5.40%
sent=120, activity=5.70%
sent=130, activity=5.40%
sent=140, activity=5.50%
sent=150, activity=5.70%
sent=160, activity=5.60%
sent=170, activity=5.40%
sent=180, activity=5.50%
sent=190, activity=5.60%
sent=200, activity=5.60%
sent=210, activity=6.0%
